	USP																							
SUN SHINE MIR HOTEL	Jaukus mažas viešbutis ramiam poilsiui netoli j?ros.																							
SUN STAR BEACH HOTEL	Biudžetinis viešbutis prie papl?dimio Alanijoje, patogus šeimoms.																							
SUN STAR RESORT	Viešbutis prie j?ros Alanijoje, baseinai su kalneliais, šeimoms patogi aplinka.																							
SUN VERA HOTEL	Biudžetinis variantas netoli papl?dimio ir miesto centro.																							
SUNDIA BY LIBERTY OLUDENIZ	Modernus, stilingas viešbutis kaln? apsuptyje – puikus pasirinkimas aktyviam poilsiui.																							
SUNDIA BY LIBERTY SUNCITY	Žalia teritorija, jauki aplinka ir labai gera lokacija šalia Ölüdenizo.																							
SUNDIA EXCLUSIVE BY LIBERTY FETHIYE ADULT ONLY (16+)	Prabangi, rami suaugusi?j? erdv? su aukštu servisu ir stilingais kambariais.																							
SUNIS HOTEL SU	Ikoniškas baltas dizaino viešbutis su modernia atmosfera ir erdviu SPA.																							
SUNIS KUMKOY BEACH RESORT & SPA	Šeim? rojus su akvaparku, erdv?s šeimyniniai kambariai, stipri animacija.																							
SUNLAND RESORT HOTEL	Didel? teritorija su ?vairiomis pramogomis ir patogiu papl?dimiu.																							
SUNMELIA HOTEL RESORT & SPA	Labai didelis ir modernus kompleksas su aukšto lygio maitinimu ir animacija.																							
SUNNY HILL ALYA	Ekonomiškas viešbutis Alanijoje, arti papl?dimio, patogu šeimoms.																							
SUNPARK GARDEN HOTEL	Erdv?s apartamentai, idealiai tinka šeimoms norin?ioms vietos ir ramyb?s.																							
SUNPOINT HOTEL	Biudžetinis viešbutis Bodrume, netoli j?ros ir miesto.																							
SUNPRIME C-LOUNGE	Suaugusi?j? viešbutis su moderniu dizainu, puikiu maistu ir ramiu papl?dimiu.																							
SUNRISE QUEEN LUXURY HOTEL	Prabangus viešbutis su ?sp?dingais vaizdais ir aukštu serviso lygiu.																							
SUNRISE RESORT HOTEL	Didelis kurortas su pla?ia pramog?, basein? ir maitinimo pasi?la visai šeimai.																							
SUNSHINE HOTEL	Paprastas viešbutis ant j?ros kranto, tinka šeimoms ieškan?ioms paprasto poilsio.																							
SUNTHALIA HOTELS & RESORTS ADULT ONLY (16+)	Naujas viešbutis Side regione, skirtas tik suaugusiems, moderni koncepcija.																							
SURAL GARDEN HOTEL	Paprastas, jaukus viešbutis žaliame sode šalia papl?dimio.																							
SURAL HOTEL	Ilga viešbu?io tradicija Side, tinkamas šeimoms, platus sm?lio papl?dimys.																							
SURAL RESORT HOTEL	Patikimas šeimoms draugiškas viešbutis Side, erdvi teritorija, papl?dimys prie pat.																							
SURAL SARAY HOTEL ADULT ONLY (16+)	Tik suaugusiems skirtas viešbutis Side, rami atmosfera ir SPA paslaugos.																							
SUUM BODRUM	Stilingas boutique viešbutis su išskirtine atmosfera ir nuostabiais Bodrumo vaizdais.																							
SWANDOR HOTELS & RESORT TOPKAPI PALACE	Teminis r?m? stiliaus viešbutis su didžiule teritorija ir puikiu maistu.																							
SWANDOR HOTELS RESORT KEMER	Gyva atmosfera, daug pramog? ir modern?s kambariai.																							
SY HOTELS BELEK BOUTIQUE LUXURY	Prabangus mažo formato viešbutis su individualiu aptarnavimu ir stilingais kambariais.																							
TAYHAN HOTEL	Paprastas miesto viešbutis su patogia lokacija.																							
TELATIYE RESORT HOTEL	Populiarus Alanijos viešbutis su šeimoms tinkama animacija ir baseinais.																							
THE BYZANTIUM HOTEL	Centrin?je Stambulo dalyje, arti istorini? viet? – patogus miesto viešbutis.																							
THE HELLO HOTEL	Paprastas ir ekonomiškas variantas netoli papl?dimio.																							
THE LAND OF LEGENDS - NICKELODEON HOTELS & RESORT	?sp?dingas teminis viešbutis vaikams su parku ir pramogomis.																							
THE LAND OF LEGENDS KINGDOM HOTEL	Vienintelis teminis pramog? parko viešbutis Turkijoje – šeim? rojus su prabanga.																							
THE MARILIS HILL RESORT HOTEL & SPA	Modernus viešbutis su gražia teritorija ir ramiu poilsiu.																							
THE NIX HOTEL	Stilingas miesto viešbutis su patogia lokacija.																							
THE NORM COLLECTION DOOR'A	Prabangus ir modernus viešbutis su išskirtiniu interjeru.																							
THE NORM ORIENTAL	Orientalizuoto stiliaus prabangus kurortas ramiam poilsiui.																							
THE PLAZA BODRUM	Modernus miesto viešbutis su nuostabiais Bodrumo ?lankos vaizdais, prabanga ir stilius.																							
THE RAGA SIDE ADULT ONLY (16+)	Modernus suaugusi?j? viešbutis Side, romantiškos atostogos, aukštas serviso lygis.																							
THE SENSE DE LUXE HOTEL	Modernus ir stilingas viešbutis su gera maitinimo kokybe.																							
THE X BELEK	Premium klas?s viešbutis su didžiule teritorija ir aukštu servisu.																							
THRONE BEACH RESORT & SPA	Viešbutis prie papl?dimio, labiau tinkamas poroms, norin?ioms ramaus poilsio.																							
TIANA BEACH RESORT	Kompaktiškas Bodrumo viešbutis, ramesnis, tinkamas poroms, ieškan?ioms paprasto poilsio.																							
TITAN SELECT HOTEL	Modernus viešbutis Alanijoje, kokybiškos paslaugos, labiau prabangos ieškantiems sve?iams.																							
TITANIC DELUXE GOLF BELEK	Prabangi teritorija, golfo laukai, puikus maistas – aukš?iausio lygio paslaugos.																							
TITANIC DELUXE LARA	Modernus kompleksas su puikia animacija ir aukštu servisu.																							
TITANIC LUXURY COLLECTION BODRUM	?sp?dingas prabangus viešbutis Bodrume, sukuria tikr? „super luxury“ patirt?, privat?s baseinai ir vilos.																							
TITANIC MARDAN PALACE	Ikoniškas prabangos simbolis Laroje, r?m? stiliaus architekt?ra, vienas prestižiškiausi? Turkijoje.																							
TRANSATLANTIK BEACH	Teminis laivo formos viešbutis su daug pramog? šeimoms.																							
TRENDY ASPENDOS BEACH HOTEL	Stiprus  viešbutis su puikiu maitinimu ir pramogomis.																							
TRENDY LARA	Modernus, labai gerai vertinamas viešbutis su aukšto lygio personalu.																							
TRENDY PALM BEACH ADULT ONLY (16+)	Tik suaugusiems skirtas viešbutis Side, papl?dimys prie pat, ramyb? ir SPA.																							
TRENDY SIDE BEACH ADULT ONLY (16+)	Jaukus ir tvarkingas viešbutis poroms, arti papl?dimio.																							
TUI BLUE BARUT ANDIZ ADULT ONLY (16+)	Boutique tipo viešbutis Side, tik suaugusiems, rami atmosfera ir kokybiška virtuv?.																							
TUI BLUE PALM GARDEN (EX IBEROTEL PALM GARDEN)	Žalias, labai gražus kurortas šeimoms su puikiomis pramogomis.																							
TUI BLUE PASHA BAY	Šeimoms tinkamas paprastesnis viešbutis su gera lokacija.																							
TUI BLUE SHERWOOD BELEK ADULT ONLY (16+)	Tik suaugusiems skirtas konceptas Beleke, modernus dizainas, aukštas serviso lygis.																							
TUI BLUE SIDE ADULT ONLY (16+)	Aukšto lygio tik suaugusi?j? viešbutis Side, prabanga, modernus SPA.																							
TUI BLUE XANTHE	Šeimoms labai tinkamas viešbutis su puikia animacija ir tvarkingais kambariais.																							
TUI MAGIC LIFE - RIXOS BELDIBI	Pramog? kupinas kurortas su „viskas ?skai?iuota“ koncepcija ir aktyvia programa.																							
TUI MAGIC LIFE BELEK	Didel? teritorija, daug sporto veikl?, tinka aktyviam poilsiui.																							
TUI MAGIC LIFE MASMAVI	Modernus šeimyninis resortas su daugybe basein? ir veikl? vaikams.																							
TURUNC PREMIUM HOTEL	Stilingas, ramus viešbutis nuostabioje ?lankoje.																							
TURUNC RESORT HOTEL	Žalias kurortas kaln? apsuptyje, puikiai tinka ramiam poilsiui.																							
TUSAN BEACH RESORT	Didelis viešbutis ant sm?lio papl?dimio su gera maitinimo kokybe.																							
UGUR HOTEL	Paprastas, ekonomiškas viešbutis netoli papl?dimio.																							
UK HOTEL KIRIS	Nedidelis viešbutis ramiam, biudžetiniam poilsiui.																							
UTOPIA WORLD HOTEL	?sik?r?s ant kalvos su panoraminiais vaizdais, didelis vandens parkas, šeimoms skirtos vilos ir apartamentai.																							
VALERI BEACH HOTEL	Puiki lokacija prie Kemerio papl?dimio, tvarkingi kambariai.																							
VENOSA BEACH RESORT & SPA	Puikus sm?lio papl?dimys, dideli numeriai ir gera animacija.																							
VERDE HOTEL ADULT ONLY (16+)	Tik suaugusiems skirtas Marmario viešbutis, ramus poilsis poroms.																							
VIKING BEACH HOTEL	Mažas, jaukus viešbutis ant j?ros kranto.																							
VIKING EXPRESS HOTEL	Ekonominis variantas ramiam poilsiui Kemeryje.																							
VIKING GARDEN HOTEL & SPA	Žalias viešbutis su jaukia atmosfera ir SPA paslaugomis.																							
VIKING NONA BEACH HOTEL	Kompaktiškas viešbutis Kemeryje ant j?ros kranto, romantiškas pasirinkimas poroms.																							
VIKING PARK HOTEL & SPA	Jaukus viešbutis žaliame rajone, tinkamas ramiam poilsiui.																							
VIKING STAR HOTEL	Centrinis Kemerio viešbutis su SPA ir geru maitinimu.																							
VIKINGEN INFINITY	Didelis ir modernus resortas su ?sp?dinga infrastrukt?ra.																							
VILLA SIDE HOTEL	Jaukus viešbutis ramioje vietoje, tinkamas šeimoms.																							
VILLA SIDE RESIDENCE	Modernus, komfortiškas viešbutis su kokybišku maitinimu.																							
VILLA SONATA HOTEL	Jaukus viešbutis su gražiu vaizdu ir patogia lokacija.																							
VILLA SUN FLOWER HOTEL	Apartament? tipo viešbutis Alanijoje, patogus poroms ir ilgalaikiam poilsiui.																							
VITA SILVA HOTEL	Modernus viešbutis su geru aptarnavimu ir baseinais.																							
VOGUE HOTEL SUPREME BODRUM	?sp?dingas pramog? parkas su atrakcionais ir vandens kalneliais, itin stiprus pasirinkimas šeimoms.																							
VON RESORT ELITE	Ramus, aukštesnio lygio viešbutis šalia papl?dimio.																							
VON RESORT GOLDEN BEACH	Didelis kompleksas su daugybe pramog? šeimoms.																							
VON RESORT GOLDEN COAST	Puikus sm?lio papl?dimys, geras maistas, daug veikl? vaikams.																							
VOX MARIS RESORT ADULT ONLY (16+)	Tik suaugusiems skirtas viešbutis Sid?je, modernus, tinkamas romantiškam poilsiui.																							
VOYAGE BELEK GOLF & SPA	Išskirtos zonos šeimoms ir suaugusiems, labai plati maisto pasi?la, aktyvi animacija.																							
VOYAGE SORGUN	Ramus šeimoms skirtas viešbutis pušyne, daugiau privatumo, nei daugelyje didži?j? kompleks?.																							
VOYAGE TORBA	Voyage tinklo viešbutis Bodrume, stipri šeimoms draugiška infrastrukt?ra, išskirtinai geras maistas.																							
WASA HOTEL	Ekonomiškas miesto viešbutis su patogia lokacija Alanijoje. 																							
WASHINGTON RESORT HOTEL & SPA	Didel? teritorija, sm?lio papl?dimys ir draugiškas personalas.																							
WHITE CITY BEACH HOTEL ADULT ONLY (16+)	Suaugusiems skirtas viešbutis ant papl?dimio, modern?s kambariai.																							
WHITE CITY RESORT HOTEL	Šiuolaikiškas viešbutis su geru papl?dimiu ir stipria animacija.																							
WHITE GOLD HOTEL	Miesto tipo viešbutis ant j?ros kranto, patogi lokacija.																							
WHITE LILYUM HOTEL	Nedidelis, bet šeimoms patogus viešbutis Kemeryje.																							
WIND OF LARA HOTEL & SPA	Modernus viešbutis Laroje, patogus šeimoms, erdv?s kambariai ir animacija.																							
WOODLINE HOTEL	Jaukus ir paprastas viešbutis gamtos apsuptyje.																							
WYNDHAM ALANYA	Prabangus miesto viešbutis su aukštos klas?s kambariais ir SPA.																							
XANADU ISLAND BODRUM	Išskirtin?je saloje ?sik?r?s viešbutis, prabanga ir privatumas, vilos su panoraminiais vaizdais.																							
XANADU RESORT HOTEL	Didel? teritorija, stipri pramog? programa ir aukštos kokyb?s maistas.																							
XENO EFTALIA RESORT	Patogus šeimoms, geras aquaparkas ir prieiga prie „Eftalia Island“.																							
XO CAPE ARNNA FETHIYE CLUB ADULT ONLY (18+)	Stilingas suaugusiems skirtas viešbutis su ?sp?dinga ?lanka.																							
XO CAPE ARNNA FETHIYE RESORT	Modernus viešbutis gražioje vietoje, ramus premium poilsis.																							
XPERIA GRAND BALI	Centrin? lokacija Alanyoje ir patog?s numeriai.																							
XPERIA SARAY BEACH	Viešbutis ant papl?dimio su gera miesto infrastrukt?ra aplink.																							
YALIHAN ASPENDOS HOTEL	Paprastas viešbutis ant sm?lio papl?dimio.																							
YALIHAN UNA HOTEL	Viešbutis su nuosavu sm?lio papl?dimiu, tinkamas šeimoms.																							
YASMAK SULTAN HOTEL	Centrin? Stambulo vieta, tvarkingi kambariai ir geras aptarnavimas.																							
YASMIN BODRUM RESORT	Didel? teritorija Bodrume, šeimoms tinkami kambariai, daug basein? ir animacija.																							
ZURICH HOTEL	Komfortiškas miesto viešbutis Stambule, patogi lokacija prie lankytin? viet?.																							
ULUSOY KEMER HOLIDAY CLUB	Didelis šeim? klubas Kemerio regione, daug žalumos, kaimelio koncepcija.																							
SARPEDOR BOUTIQUE HOTEL & SPA	Boutique viešbutis Bodrume, privat?s papl?dimiai, ramyb?, puiki SPA koncepcija.																							
MEGASARAY CLUB BELEK	Futbolo aikštynai, sporto infrastrukt?ra, šeimoms draugiški apartamentai.																							
KIMEROS PARK HOLIDAY VILLAGE	Šeim? pam?gtas atostog? kaimelis, daug žalumos, patog?s šeimyniniai nameliai.																							
HORUS PARADISE LUXURY RESORT	Didžiulis Side kurortas su akvaparku, ?vairaus tipo kambariai šeimoms.																							
HILLSIDE BEACH CLUB	Vienas garsiausi? Turkijos viešbu?i?, skirtas poroms - aukštos klas?s paslaugos, privat?s papl?dimiai, unikali atmosfera Fethiye.																							
GURAL PREMIER BELEK	Vienas didžiausi? vandens park?, pritaikytas šeimoms ir ne tik, autentiškas turkiškas stilius, netoli oro uosto.																							
EMELDA SUN CLUB	Atostog? kaimelis Kemerio regione su šeimoms patogia koncepcija ir daug žalumos.																							
CLUB NENA	Milžiniška teritorija su sodais, daugyb? veikl? šeimoms, stipri animacija.																							
CLUB MARCO POLO	?sik?r?s gražioje ?lankoje Kemeryje, šeimoms patogi infrastrukt?ra, aktyvi animacija.																							
CLUB BORAN MARE BEACH	Šeim? pam?gtas kurortas Kemeryje, daug žalumos, ramus, bet patogus šeimoms.																							
ALBATROS MAKADI RESORT	Didel? teritorija, geras aquaparkas ir modern?s numeriai.																							
AMARINA ABU SOMA RESORT & AQUA PARK	Puikus papl?dimys, ramus poilsis ir didelis aquaparkas.																							
AMC ROYAL HOTEL & SPA	Papl?dimys su rifu, modern?s kambariai, gera SPA zona.																							
AMWAJ BEACH CLUB ABU SOMA	Ramus viešbutis ant plataus sm?lio papl?dimio.																							
AMWAJ OYOUN RESORT & CASINO	Gerai žinomas viešbutis su pla?iu papl?dimiu. Paprastas, bet patikimas pasirinkimas.																							
ARABIA AZUR	Klasikinis, jaukus viešbutis su erdvia lag?na ir gražiais koralais nardytojams. Geras pasirinkimas ieškantiems ramesnio, ekonomiško poilsio Hurgados centre.																							
AZUR ONE ELEVEN	Modernus dizainas ir rami, stilinga atmosfera.																							
BARCELO TIRAN SHARM	Gražus vaizdas ? Tiran sal?, patog?s kambariai ir maloni atmosfera. Geras variantas ramiam poilsiui.																							
BARON PALACE RESORT SAHL HASHESH	Vienas geresni? Egipto viešbu?i? - r?m? stiliaus architekt?ra, puikus aptarnavimas ir aukštos klas?s virtuv?. Tinka ieškantiems tylos, elegancijos ir kokyb?s.																							
BEACH ALBATROS RESORT HURGHADA	Seniai pam?gtas šeim? viešbutis su pla?iu sm?lio papl?dimiu ir daugybe basein?. Linksma animacija, skanus maistas ir gera atmosfera garantuoja puikias atostogas visai šeimai.																							
BELLAGIO BEACH RESORT & SPA	Platus papl?dimys, geras pasirinkimas šeimoms.																							
CARLOS BEAU RIVAGE MARSA MATROUH	Unikalus baltas sm?lis ir žydro vandens ?lanka.																							
CATARACT LAYALINA RESORT	Paprastas viešbutis geroje Naama Bay vietoje.																							
CATARACT RESORT NAAMA BAY	Centrin? lokacija ir draugiška atmosfera.																							
CHARMILLION CLUB AQUA PARK	Didelis aquaparkas ir šeimoms pritaikytos pramogos.																							
CHARMILLION CLUB RESORT	Patikimas Šarm el Šeicho viešbutis su gražiu rif? papl?dimiu, erdv?s kambariai ir draugiškas personalas.																							
CHARMILLION GARDENS AQUA PARK	Puikus pasirinkimas šeimoms – smagus vandens parkas, skanus maistas.																							
CHARMILLION SEA LIFE RESORT	Nardymas nuo kranto ir jauki teritorija.																							
CLEOPATRA LUXURY RESORT SHARM	Elegantiškas viešbutis Nabq Bay zonoje – modernus interjeras, puikus papl?dimys ir aukšto lygio aptarnavimas.																							
CLEOPATRA LUXURY RESORT SHARM ADULTS ONLY	Tik suaugusiems skirtas viešbutis su elegantišku interjeru ir ramia aplinka. Aukštos klas?s SPA ir poilsio kokyb?.																							
CLEOPATRA SIDI HENISH NORTH COAST	Graž?s papl?dimiai ir modernus stilius.																							
CONCORDE EL SALAM SHARM EL SHEIKH	Klasikinis, gerai žinomas viešbutis su dviem zonomis: papl?dimio ir sporto. Tinkamas aktyviam poilsiui.																							
DESERT ROSE RESORT HURGHADA	Didel?, graži teritorija su lag?na, platus papl?dimys ir draugiškas personalas. Puikus pasirinkimas norintiems gero poilsio be prabangos pertekliaus – idealiai tinka šeimoms.																							
DEXON ROMA HOTEL	Centrin? Hurghados vieta, paprastas ir ekonomiškas.																							
DIVE INN RESORT	Ramus viešbutis su jaukia teritorija.																							
DREAMS BEACH RESORT SHARM	Šeimoms draugiška infrastrukt?ra, daug veiklos ir patogus išd?stymas atostogoms be r?pes?i?.																							
DREAMS VACATION RESORT SHARM	Gera kaina, prieiga prie seserinio viešbu?io papl?dimi?.																							
EAGLES DOWNTOWN ZAHABIA RESORT & AQUA PARK	Biudžetinis variantas su mažy?iu aquaparku.																							
ELYSEES DREAM BEACH HOTEL	Geras sm?lio papl?dimys miesto centre.																							
EMPIRE BEACH AQUA PARK	Ekonomiškas variantas, kompaktiška teritorija ir mažas aquaparkas.																							
EMPIRE HOTEL AQUA PARK	Ekonomiškas viešbutis su nedideliu aquaparku.																							
FALCON HILLS	Ramus ir biudžetinis viešbutis netoli Hadaba rajono.																							
FALCON NAAMA STAR	Gera vieta šalia Naama Bay pramog?.																							
FLOW SPECTRUM RESORT SAHL HASHEESH	Modernus, jaukus ir gražioje Sahl Hasheesh vietoje.																							
GIFTUN AZUR	Sen-bet-geroje vietoje, su puikiu papl?dimiu.																							
GRAND BLUE SAINT MARIA AQUA PARK	Biudžetinis viešbutis su aquaparku vaikams.																							
GRAND ROTANA	?sp?dinga teritorija, palm?s ir kokybiškas servisas.																							
GRAVITY SAHL HASHESH	Platus papl?dimys, modernus dizainas ir gera animacija.																							
IBEROTEL PALACE	Ramus premium viešbutis su priva?iu sm?lio papl?dimiu.																							
JAZ AQUAMARINE RESORT HURGHADA	Vienas populiariausi? viešbu?i? Hurgadoje – didžiulis akvaparkas, puiki virtuv?, išskirtinai tvarkinga teritorija. Geras aptarnavimas, šeimoms ir poroms.																							
JAZ AQUAVIVA	Modernus, jaukus viešbutis šalia „Makadi Water World“ parko. Idealiai tinka aktyviam šeim? poilsiui.																							
JAZ BELVEDERE	Jaukus, gražiai sutvarkytas viešbutis su puikiu papl?dimiu ir malonia atmosfera. Tinka tiek šeimoms, tiek poroms.																							
JAZ DAHABEYA	Šilta atmosfera ir labai gera vieta sportui bei nardymui.																							
JAZ ELITE ASTERIA	Modernus, aukštos klas?s poilsis.																							
JAZ ELITE CASA DEL MAR BEACH	Modernus, jaukus viešbutis netoli Hurgados centro. Šiuolaikiškas interjeras, geras maistas ir rami atmosfera – patogus variantas tiek poroms, tiek šeimoms.																							
JAZ FANARA SHARM EL SHEIKH	Viena geriausi? viet? nardymui – viešbutis ?sik?r?s prie koral? rifo, jauki aplinka ir draugiškas personalas.																							
JAZ FAYROUZ RESORT	Didžiulis papl?dimys Naama Bay centre.																							
JAZ MAKADI OASIS RESORT	Makadi ?lankoje ?sik?r?s viešbutis, pasižymintis kokybišku aptarnavimu ir puikiu papl?dimiu. Ypatingai vertinamas šeim?, norin?i? ramaus poilsio ir stabilios kokyb?s.																							
JAZ MAKADI SARAYA RESORT	Stilingi numeriai ir rami aplinka.																							
JAZ MAKADI STAR	Elitinis variantas Makadi Bay su aukštu servisu.																							
JAZ MAKADINA	Ramus viešbutis su prieiga prie bendro Makadi komplekso.																							
JAZ MIRABEL BEACH	Didelis, žalias kompleksas su puikia infrastrukt?ra. Vienas populiariausi? šeim? viešbu?i? Šarm el Šeiche.																							
JAZ MIRABEL PARK & CLUB	Didelis kompleksas su žaluma, daugybe basein? ir pramog? šeimoms. „Jaz“ tinklo standartas.																							
JAZ NEO NAAMA BAY (EX. SOLYMAR NAAMA BAY)	Centrinis, modernizuotas, geras kainos/kokyb?s santykis.																							
JAZ NEO SHARKS BAY	Nedidelis, jaukus viešbutis arti oro uosto ir papl?dimio. Geras pasirinkimas norintiems paprasto, bet kokybiško poilsio.																							
JAZ PALMARIVA BEACH RESORT (EX. LABRANDA CLUB MAKADI)	Puikus papl?dimys ir gera Makadi vieta.																							
JAZ ROYAL PALMARIVA (EX. LABRANDA ROYAL MAKADI)	Didel? teritorija ir aukštesnis komforto lygis.																							
JAZ SHARM DREAMS RESORT	Viešbutis miesto centre, netoli papl?dimio ir pramog?. Puikus aptarnavimas ir patogi vieta aktyvioms atostogoms.																							
KAISOL ROMANCE HOTEL (EX. SUNRISE ROMANCE RESORT)	Populiarus suaugusi?j? viešbutis, idealus poroms.																							
KING TUT AQUA PARK BEACH RESORT	Aquaparkas, papl?dimys ir gera vieta šalia miesto.																							
LE PACHA	Centrinis viešbutis šalia Marina rajono – gera vieta už ger? kain?.																							
LEMON & SOUL MAKADI	Jauk?s, kompaktiški apartamentai ramesniame Makadi Bay.																							
LONG BEACH RESORT HURGHADA	Ilgas papl?dimys ir labai didel? teritorija šeimoms.																							
MAGIC LIFE REDSINA (EX. IBEROTEL REDSINA)	Populiarus premium TUI konceptas su daugybe veikl?.																							
MARLIN INN AZUR RESORT	Paprastas, ekonomiškas viešbutis su gera vieta ant j?ros.																							
MENAVILLE SAFAGA	Ilgas papl?dimys ir geros s?lygos burlent?ms / kitesurf.																							
MERAKI RESORT	Populiariausias jaunimo viešbutis Egipte – boho stilius + vakar?liai.																							
MERAKI RESORT SHARM	Naujas, modernus viešbutis su „boho“ stiliaus atmosfera ir jaunatvišku poži?riu ? poils?. Linksmas, spalvingas ir tinkamas aktyviems suaugusiesiems.																							
MERCURE HURGHADA	Geriausias  pasirinkimas Hurgadoje – golfo laukai, erdv?s, papl?dimys.																							
MINAMARK RESORT & SPA	Centre, šalia Marina ir Sheraton Street – puiki lokacija.																							
MIRAGE RESORT & AQUAPARK	Didelis aquaparkas ir geras pasirinkimas šeimoms.																							
MONTE CARLO SHARM RESORT SPA & AQUA PARK	Didel? teritorija, geras servisas ir puikus SPA.																							
MOVENPICK EL GOUNA	Unikali lag?n? vieta, idealiai tinka ramiam, prabangiam poilsiui.																							
NAAMA BAY HOTEL & RESORT	Viešbutis pa?iame Naama Bay centre – puikus variantas tiems, kas m?gsta veiksm? ir naktin? gyvenim?.																							
NEGRESCO HOTEL MARSA MATROUH	Prabangus poilsis viename gražiausi? Egipto papl?dimi?.																							
NILE CRUISE: NILE STYLE - AMARINA	Modernus, elegantiškas kruizas su aukš?iausiu aptarnavimu.																							
NILE CRUISE: NILE STYLE - MOVENPICK	Ilgamet? kokyb?, prabanga ir aukš?iausia Movenpick virtuv?.																							
NOVOTEL BEACH	Patikimas, miesto centre esantis viešbutis ir tuo pa?iu ant j?ros kranto. Puiki vieta norintiems derinti poils? ir pasivaikš?iojimus po Naama Bay.																							
NOVOTEL MARSA ALAM	Ramyb?, modern?s kambariai ir nuostab?s rifai.																							
NOVOTEL PALM	Žalioji oaz? šalia Naama Bay su patogiu patekimu ? papl?dim?.																							
NUBIAN ISLAND	Egipto stiliaus viešbutis su žalumos apsupta teritorija ir gražiu rifiniu papl?dimiu. Puikus pasirinkimas šeimoms ir ramiam poilsiui.																							
NUBIAN VILLAGE	Šeimoms labai tinkama teritorija ir graži pakrant?.																							
OLD PALACE RESORT SAHL HASHESH	Stilingas, prabangus, su nepakartojamu Sahl Hasheesh papl?dimiu.																							
PALM ROYALE SOMA BAY	Vienas gražiausi? papl?dimi? Egipte, puikus v?jas vandens sportui.																							
PANORAMA BUNGALOW RESORT EL GOUNA	Lag?n? vaizdai, rami aplinka ir savita El Gounos atmosfera.																							
PANORAMA NAAMA HEIGHTS	Geras pasirinkimas už kain? + nemokamas transferis ? papl?dim?.																							
PARK REGENCY SHARM EL SHEIKH RESORT (EX. HYATT REGENCY)	Populiarus viešbutis su vienu gražiausi? rif? Sharm’e.																							
PARROTEL AQUA PARK RESORT	Didelis aquaparkas – puikus pasirinkimas šeimoms.																							
PARROTEL BEACH RESORT	Patogus ??jimas ? j?r? ir gražus papl?dimys Nabq regione.																							
PARROTEL LAGOON RESORT	Erdv?s numeriai, daug žalumos, ramu ir komfortiška.																							
PHARAOH AZUR RESORT	Rami vieta, didel? sm?lio ?lanka ir puikus kainos/kokyb?s santykis.																							
PICKALBATROS ALF LEILA WA LEILA BY NEVERLAND HURGHADA	Vienintelis Egipte „1001 nakties“ tematikos kompleksas su vakaro šou.																							
PICKALBATROS AQUA BLU RESORT HRG	Vienas didžiausi? aquapark? Hurgadoje – idealu šeimoms.																							
PICKALBATROS AQUA BLU RESORT SHARM EL SHEIKH	Didelis šeim? rojus – daugiau nei 60 vandens kalneli?, daugyb? restoran? ir gyva atmosfera. Idealu su vaikais.																							
PICKALBATROS AQUA PARK RESORT HURGHADA	Geras kainos ir kokyb?s balansas – puikus aqua parkas, daug pramog? vaikams.																							
PICKALBATROS AQUA PARK RESORT SHARM EL SHEIKH	Vienas smagiausi? Šarm el Šeicho viešbu?i? – didelis vandens parkas, puiki animacija ir šeimoms pritaikyta infrastrukt?ra.																							
PICKALBATROS AQUA VISTA RESORT HURGHADA	Modernus, stilingas kompleksas su prieiga prie keli? Albatros viešbu?i?.																							
PICKALBATROS BLU SPA RESORT HURGHADA	Suaugusi?j? poilsiui skirtas modernus SPA kurortas.																							
PICKALBATROS CITADEL RESORT	Ne?prastas viešbutis pastatytas iš nat?ralaus akmens. Daugyb? lag?n?, puik?s restoranai ir išskirtin? aura.																							
PICKALBATROS DANA BEACH RESORT	Vienas žinomiausi? Hurgados viešbu?i? su lag?na, kurioje plaukioja valtys. Šeim? rojus - puikus maistas, baseinai ir nuostabus papl?dimys.																							
PICKALBATROS JUNGLE AQUA PARK BY NEVERLAND	Tikras vandens pramog? miestas – daugiau nei 30 vandens kalneli?, daugyb? restoran? ir aktyvios animacijos. Vienas smagiausi? pasirinkim? šeimoms su vaikais.																							
PICKALBATROS LAGUNA CLUB RESORT	Ramus viešbutis didel?je teritorijoje – patogu šeimoms.																							
PICKALBATROS LAGUNA VISTA BEACH	Gražus viešbutis ant j?ros kranto Nabq Bay zonoje, su priva?iais pontonais ir žalia teritorija.																							
PICKALBATROS OASIS PORT GHALIB	Prabangus Port Ghalib centre, šalia marinos ir papl?dimio.																							
PICKALBATROS PALACE RESORT HURGHADA	Elegantiškas ir prabangus kompleksas šalia j?ros. Puikiai subalansuotas poilsis: aukštos kokyb?s virtuv?, dideli baseinai ir profesionalus aptarnavimas.																							
PICKALBATROS PALACE RESORT SHARM EL SHEIKH	Modernus, elegantiškas viešbutis su išpuosel?ta teritorija, puikia virtuve ir aukšto lygio aptarnavimu. Tinka poroms ir šeimoms.																							
PICKALBATROS ROYAL GRAND RESORT	Ramus viešbutis su vaizdu ? j?r?, stilingais numeriais ir skaniu maistu. Tobulas pasirinkimas poilsiui dviese.																							
PICKALBATROS ROYAL MODERNA RESORT	Didelis kompleksas su pla?iu papl?dimiu ir geru aptarnavimu. Tinka šeimoms bei poroms.																							
PICKALBATROS SANDS PORT GHALIB	Naujas, labai modernus viešbutis Port Ghalib regione.																							
